Forest type,ACT,NSW,NT,Qld,SA,Tas,Vic,WA,Australia
Acacia,0,730,1522,5121,104,77,37,3222,10813
Callitrisa,0,1394,0,527,66,1,23,0.1,2011
Casuarina,1,512,38,272,252,10,48,103,1236
Eucalypt,129,15460,19764,35184,4283,2461,7175,16602,101058
Mangrove,0,6,334,384,13,0,1,116,854
Melaleuca,0,67,1038,5141,34,25,19,58,6382
Rainforest,0,594,287,1981,0,699,20,0.2,3581
Other native forest,0.2,1162,702,2970,104,69,322,350,5679
Total Native forest,130,19925,23686,51580,4856,3342,7645,20450,131615
Other forestd(Soft_Hard_Commercial),19,822.1,94,480,381.2,668,992,914,4371
Total forest,142,20368,23735,51830,5060,3699,8222,20981,134037
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
, ,,,,,,,,
